puzzle_id,fen,mating_moves,rating
czO4z,rk1r4/ppn5/4pppp/5b2/5N1P/P7/2PR4/2K5 w - - 0 32,d2d8,418
IACjL,5r1k/1p4pp/8/qr6/3p3P/P3P1P1/Q5K1/5R2 w - - 0 39,f1f8,480
BRK5C,7k/7p/2Rp4/1N1P4/7r/5R2/1P3PKb/4r3 b - - 2 35,e1g1,855
9JkM0,2kr1r2/pb1p3p/2pQ2p1/2PnB3/5p1P/8/PP1K4/q7 w - - 0 32,d6b8,1434
u38Wk,r1bqkb1r/1p1pnppp/p3p3/1Bp1P3/3nNP2/8/PPPP2PP/R1BQK1NR w KQkq - 0 7,e4d6,975
xeTUD,1r2r1k1/p3qpbp/1p4p1/1P1n4/P2Q1P2/5BP1/1B5P/3R1RK1 w - - 0 26,d4g7,961
2D886,4R3/8/8/5rp1/5k1p/5P2/5PK1/8 w - - 8 46,e8e4,682
s0bBg,r3k2r/2qn1pp1/2p1p1p1/pp4B1/3P4/1BP2QbP/PP4P1/R4RK1 w kq - 0 17,f3f7,670
EyRfK,5rk1/pp3ppp/4pn2/q2p4/3N4/P4Q2/1R3PPP/4R1K1 b - - 0 19,a5e1,1124
2XB9B,r2q1rk1/pp1nbbp1/2p4p/3ppQ2/8/2NBP1B1/PP3PPP/R4RK1 w - - 0 16,f5h7,747
O5nG5,r1b2rkn/pp2bpp1/5n2/3Np1NP/5P2/1P2P3/PBqP4/2R1KB1R w K - 0 17,d5e7,1367
MfXDl,8/4N3/8/6Pk/3bP2P/3B2K1/5p2/r7 w - - 0 54,d3e2,1545
STZIY,2b2r1k/2R4r/3q4/8/2QpBp2/6P1/1PP5/6K1 w - - 0 43,c7h7,943
wW0jK,2r1k3/pb1p1pBp/6p1/1N6/4P3/bP5P/P2pQPP1/1KR5 b - - 0 25,c8c1 d2c1q d2c1r,972
CtpU4,r3k2r/1p2bppp/p4n2/5p2/3q1B2/2N2P2/PPP1QP1K/4R3 w kq - 0 17,e2e7,563
Weflk,8/5kpp/5p2/p7/8/1PP4P/5PP1/1q1Q1K2 b - - 2 37,b1d1,416
c0Ub3,1k6/6p1/4B3/4P1P1/1P1r3p/1Q4nP/6K1/5r2 b - - 10 45,d4d2,763
dKKiw,6R1/3r4/p7/p2B4/1pP2kPK/8/8/8 b - - 0 56,d7h7,981
ony3E,2Q5/4N1pk/6p1/1p1pn1Pp/7P/bP3P2/2PPK3/7q w - - 0 34,c8g8,1027
qQvxi,2q5/1b5n/pn3k2/1p1p1PpB/3Pp2P/bP2P1Q1/P4N2/7K w - - 2 37,g3e5,1779
OPeN8,4r1nr/Qppk2pp/3p4/5bq1/2P5/2P5/PB1R1PPP/2K2B1R b - - 2 16,e8e1,915
M69Jr,r1bbn1k1/pp3ppp/7q/3p4/1B1P4/P2B1N2/1P3PPP/4R1K1 w - - 0 20,e1e8,832
SOJBw,8/8/8/5p2/k1K5/7p/1R4b1/8 w - - 12 69,b2a2,1321
aNfuG,1k6/pB5p/P4p2/B1p1qP1r/3p4/3P1Q2/1P6/5RK1 b - - 6 38,e5h2,714
OhABN,5Q2/1p1r1p1k/p4q1p/3r4/6R1/5P2/P2p2P1/3R2K1 w - - 7 42,f8g8,1271
9uY1s,r3q2k/pp5p/3p1r2/3B1b2/P1PB1P2/6P1/P6P/6K1 w - - 0 25,d4f6,629
qEXgw,8/7k/6p1/2q5/Q5KP/P5P1/1P6/8 b - - 0 75,c5f5,1079
ky3Lt,2Nn4/3n1pbp/4k1p1/pBp1P3/1p2P3/7P/1P4PB/6K1 w - - 0 37,b5c4,1137
oXD0p,7k/1p1q1p1p/p4p2/8/1QP1p3/1P2P1P1/2N2PKP/3r4 w - - 3 34,b4f8,786
j09A8,r3kb1r/4nppp/p1p1p3/1qppP3/N2P2bN/2P5/PPQB1PPP/R3K2R b KQkq - 4 14,b5e2,765
vnjyi,7r/p7/bp1R3p/5pp1/4kB2/P3P3/1P4PP/6K1 w - - 0 29,d6d4,1429
6r5Ut,1N4k1/Rn3ppp/8/1P6/1q3p2/8/2P2PPP/4Q1K1 b - - 0 32,b4e1,435
L5t81,7k/R6p/5Pp1/8/1P2K1P1/Pr5P/1b6/8 w - - 0 39,a7a8,724
